,FIPS,State,County,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10
0,13001,GA,Appling,0.874812409,0,1.275597947
1,13003,GA,Atkinson,0.874812409,0,1.275597947
2,13005,GA,Bacon,1,0.633048537,1.283931989
3,13007,GA,Baker,0.874812409,0,1.275597947
4,13009,GA,Baldwin,0,1,0
5,13011,GA,Banks,0,1,0
6,13013,GA,Barrow,0,1,0
7,13015,GA,Bartow,0,1,0
8,13017,GA,Ben Hill,0.874812409,0,1.275597947
9,13019,GA,Berrien,0.874812409,0,1.275597947
10,13021,GA,Bibb,0.874812409,0,1.275597947
11,13023,GA,Bleckley,0.874812409,0,1.275597947
12,13025,GA,Brantley,1,0.633048537,1.283931989
13,13027,GA,Brooks,0.874812409,0,1.275597947
14,13029,GA,Bryan,0.874812409,0,1.275597947
15,13031,GA,Bulloch,0.874812409,0,1.275597947
16,13033,GA,Burke,0.874812409,0,1.275597947
17,13035,GA,Butts,0,1,0
18,13037,GA,Calhoun,0.874812409,0,1.275597947
19,13039,GA,Camden,1,0.633048537,1.283931989
20,13043,GA,Candler,0.874812409,0,1.275597947
21,13045,GA,Carroll,0,1,0
22,13047,GA,Catoosa,0.874812409,0,1.275597947
23,13049,GA,Charlton,1,0.633048537,1.283931989
24,13051,GA,Chatham,0.874812409,0,1.275597947
25,13053,GA,Chattahoochee,0.874812409,0,1.275597947
26,13055,GA,Chattooga,0,1,0
27,13057,GA,Cherokee,0,1,0
28,13059,GA,Clarke,0,1,0
29,13061,GA,Clay,0.874812409,0,1.275597947
30,13063,GA,Clayton,0,1,0
31,13065,GA,Clinch,1,0.633048537,1.283931989
32,13067,GA,Cobb,0,1,0
33,13069,GA,Coffee,0.874812409,0,1.275597947
34,13071,GA,Colquitt,0.874812409,0,1.275597947
35,13073,GA,Columbia,0.874812409,0,1.275597947
36,13075,GA,Cook,0.874812409,0,1.275597947
37,13077,GA,Coweta,0,1,0
38,13079,GA,Crawford,0.874812409,0,1.275597947
39,13081,GA,Crisp,0.874812409,0,1.275597947
40,13083,GA,Dade,0.874812409,0,1.275597947
41,13085,GA,Dawson,0,1,0
42,13087,GA,Decatur,0.874812409,0,1.275597947
43,13089,GA,DeKalb,0,1,0
44,13091,GA,Dodge,0.874812409,0,1.275597947
45,13093,GA,Dooly,0.874812409,0,1.275597947
46,13095,GA,Dougherty,0.874812409,0,1.275597947
47,13097,GA,Douglas,0,1,0
48,13099,GA,Early,0.874812409,0,1.275597947
49,13101,GA,Echols,0.874812409,0,1.275597947
50,13103,GA,Effingham,0.874812409,0,1.275597947
51,13105,GA,Elbert,0.874812409,0,1.275597947
52,13107,GA,Emanuel,0.874812409,0,1.275597947
53,13109,GA,Evans,0.874812409,0,1.275597947
54,13111,GA,Fannin,0,1,0
55,13113,GA,Fayette,0,1,0
56,13115,GA,Floyd,0,1,0
57,13117,GA,Forsyth,0,1,0
58,13119,GA,Franklin,0.874812409,0,1.275597947
59,13121,GA,Fulton,0,1,0
60,13123,GA,Gilmer,0,1,0
61,13125,GA,Glascock,0.874812409,0,1.275597947
62,13127,GA,Glynn,1,0.633048537,1.283931989
63,13129,GA,Gordon,0,1,0
64,13131,GA,Grady,0.874812409,0,1.275597947
65,13133,GA,Greene,0,1,0
66,13135,GA,Gwinnett,0,1,0
67,13137,GA,Habersham,0.874812409,0,1.275597947
68,13139,GA,Hall,0,1,0
69,13141,GA,Hancock,0,1,0
70,13143,GA,Haralson,0,1,0
71,13145,GA,Harris,0,1,0
72,13147,GA,Hart,0.874812409,0,1.275597947
73,13149,GA,Heard,0,1,0
74,13151,GA,Henry,0,1,0
75,13153,GA,Houston,0.874812409,0,1.275597947
76,13155,GA,Irwin,0.874812409,0,1.275597947
77,13157,GA,Jackson,0,1,0
78,13159,GA,Jasper,0,1,0
79,13161,GA,Jeff Davis,0.874812409,0,1.275597947
80,13163,GA,Jefferson,0.874812409,0,1.275597947
81,13165,GA,Jenkins,0.874812409,0,1.275597947
82,13167,GA,Johnson,0.874812409,0,1.275597947
83,13169,GA,Jones,0,1,0
84,13171,GA,Lamar,0,1,0
85,13173,GA,Lanier,0.874812409,0,1.275597947
86,13175,GA,Laurens,0.874812409,0,1.275597947
87,13177,GA,Lee,0.874812409,0,1.275597947
88,13179,GA,Liberty,0.874812409,0,1.275597947
89,13181,GA,Lincoln,0.874812409,0,1.275597947
90,13183,GA,Long,0.874812409,0,1.275597947
91,13185,GA,Lowndes,0.874812409,0,1.275597947
92,13187,GA,Lumpkin,0,1,0
93,13189,GA,McDuffie,0.874812409,0,1.275597947
94,13191,GA,McIntosh,0.874812409,0,1.275597947
95,13193,GA,Macon,0.874812409,0,1.275597947
96,13195,GA,Madison,0.874812409,0,1.275597947
97,13197,GA,Marion,0.874812409,0,1.275597947
98,13199,GA,Meriwether,0,1,0
99,13201,GA,Miller,0.874812409,0,1.275597947
100,13205,GA,Mitchell,0.874812409,0,1.275597947
101,13207,GA,Monroe,0,1,0
102,13209,GA,Montgomery,0.874812409,0,1.275597947
103,13211,GA,Morgan,0,1,0
104,13213,GA,Murray,0,1,0
105,13215,GA,Muscogee,0.874812409,0,1.275597947
106,13217,GA,Newton,0,1,0
107,13219,GA,Oconee,0,1,0
108,13221,GA,Oglethorpe,0,1,0
109,13223,GA,Paulding,0,1,0
110,13225,GA,Peach,0.874812409,0,1.275597947
111,13227,GA,Pickens,0,1,0
112,13229,GA,Pierce,1,0.633048537,1.283931989
113,13231,GA,Pike,0,1,0
114,13233,GA,Polk,0,1,0
115,13235,GA,Pulaski,0.874812409,0,1.275597947
116,13237,GA,Putnam,0,1,0
117,13239,GA,Quitman,0.874812409,0,1.275597947
118,13241,GA,Rabun,0.874812409,0,1.275597947
119,13243,GA,Randolph,0.874812409,0,1.275597947
120,13245,GA,Richmond,0.874812409,0,1.275597947
121,13247,GA,Rockdale,0,1,0
122,13249,GA,Schley,0.874812409,0,1.275597947
123,13251,GA,Screven,0.874812409,0,1.275597947
124,13253,GA,Seminole,0.874812409,0,1.275597947
125,13255,GA,Spalding,0,1,0
126,13257,GA,Stephens,0.874812409,0,1.275597947
127,13259,GA,Stewart,0.874812409,0,1.275597947
128,13261,GA,Sumter,0.874812409,0,1.275597947
129,13263,GA,Talbot,0,1,0
130,13265,GA,Taliaferro,0.874812409,0,1.275597947
131,13267,GA,Tattnall,0.874812409,0,1.275597947
132,13269,GA,Taylor,0.874812409,0,1.275597947
133,13271,GA,Telfair,0.874812409,0,1.275597947
134,13273,GA,Terrell,0.874812409,0,1.275597947
135,13275,GA,Thomas,0.874812409,0,1.275597947
136,13277,GA,Tift,0.874812409,0,1.275597947
137,13279,GA,Toombs,0.874812409,0,1.275597947
138,13281,GA,Towns,0,1,0
139,13283,GA,Treutlen,0.874812409,0,1.275597947
140,13285,GA,Troup,0,1,0
141,13287,GA,Turner,0.874812409,0,1.275597947
142,13289,GA,Twiggs,0.874812409,0,1.275597947
143,13291,GA,Union,0,1,0
144,13293,GA,Upson,0,1,0
145,13295,GA,Walker,0.874812409,0,1.275597947
146,13297,GA,Walton,0,1,0
147,13299,GA,Ware,1,0.633048537,1.283931989
148,13301,GA,Warren,0.874812409,0,1.275597947
149,13303,GA,Washington,0.874812409,0,1.275597947
150,13305,GA,Wayne,0.874812409,0,1.275597947
151,13307,GA,Webster,0.874812409,0,1.275597947
152,13309,GA,Wheeler,0.874812409,0,1.275597947
153,13311,GA,White,0,1,0
154,13313,GA,Whitfield,0,1,0
155,13315,GA,Wilcox,0.874812409,0,1.275597947
156,13317,GA,Wilkes,0.874812409,0,1.275597947
157,13319,GA,Wilkinson,0.874812409,0,1.275597947
158,13321,GA,Worth,0.874812409,0,1.275597947